Nombre,Simbolo,Precio,Supply en circulacion,Marketcap,Volumen 24h,%1h,%24h,%7 días,%1 mes,% YTD,Fecha extracción
Tezos,XTZ,6.23486854807548,766200176.09848,4777157379.486307,484362915.8193731,0.24535722,-4.39517169,4.19730106,48.04705704,210.3593,12-04-2021 20:45
Cosmos,ATOM,22.19872353748007,210636981.382163,4675872116.471973,899168547.1458175,1.47647183,1.47811169,1.56913521,12.80483269,278.2655,12-04-2021 20:45
Neo,NEO,62.99284553009034,70538831,4443441685.056148,872717021.999342,1.82762428,-2.96323047,9.22372099,49.82486102,334.3827,12-04-2021 20:45
Avalanche,AVAX,32.50487585868526,128556887.20401508,4178725659.345514,315232871.8047834,1.39748287,1.66664546,3.10706408,-1.45951595,786.9426,12-04-2021 20:45
Huobi Token,HT,21.77215930467366,182827444.25441208,3980548241.573403,1758146783.7680922,3.00860794,11.60956318,28.90670362,42.38091697,319.3535,12-04-2021 20:45
Algorand,ALGO,1.46445555424345,2698327833.322387,3951581182.6786637,537084867.5009196,-0.25729911,2.33657177,6.81912256,25.81102305,267.8343,12-04-2021 20:45
Elrond,EGLD,223.955281452259,17283245.59747999,3870674132.1921473,336670638.5020984,0.63499218,-2.44489379,34.92139469,54.8354319,759.217,12-04-2021 20:45
PancakeSwap,CAKE,25.73482732002288,149854209.71686983,3856472210.24214,1227952625.3486292,2.01085041,0.24293938,50.13595832,123.65197037,3787.0374,12-04-2021 20:45
NEM,XEM,0.41870018838386,8999999999,3768301695.03604,223483333.8994731,0.15119693,-4.59993944,-6.55768146,8.28533667,88.316,12-04-2021 20:45
Kusama,KSM,429.26711542745426,8470098.05726206,3635934560.428569,275564864.82882583,-0.28107154,-2.93081466,-4.10411994,38.24280614,517.6523,12-04-2021 20:45
Bitcoin BEP2,BTCB,60188.76479763958,54739.59765995,3294708768.6721525,77346728.22772184,0.93047319,0.05978225,1.60095195,0.94902232,112.7238,12-04-2021 20:45
Holo,HOT,0.01937482325778,169164199065.01862,3277526458.4286485,683733578.8095012,-1.10706696,-4.05948294,-36.5869666,355.39440133,2925.8032,12-04-2021 20:45
Dai,DAI,1.00171087813048,3263332145.7165127,3268915309.3171115,298949166.4683916,-0.03963425,-0.11823042,0.07468591,-0.0240147,-0.2764,12-04-2021 20:45
Dash,DASH,278.38284963075665,10074743.36803292,2804635768.0915713,959969701.353958,0.1451926,-1.35872538,1.38838933,16.26018635,215.4776,12-04-2021 20:45
Chiliz,CHZ,0.49309697158112,5586355378.017659,2754614919.0764103,882039269.7438104,-0.38798193,5.07904043,0.79546699,-33.14303412,2258.8145,12-04-2021 20:45
Hedera Hashgraph,HBAR,0.33999134224615,7916862845,2691664825.050224,205694849.79489964,-1.04537147,-4.31667179,3.19382819,26.49946657,932.6293,12-04-2021 20:45
The Graph,GRT,2.09764596183672,1245666867,2612968073.3563485,584654501.3259913,0.9717677,12.79290044,14.75893028,13.89308638,477.5192,12-04-2021 20:45
THORChain,RUNE,11.24880851013666,231825761.0976,2607763594.3035913,135072972.72562522,1.01686333,-0.36425943,10.38392252,83.10639936,769.2753,12-04-2021 20:45
Enjin Coin,ENJ,3.04107945118194,834313756.7192237,2537214421.397239,468289174.0013278,2.25618254,-5.87239585,19.35381778,47.56512847,2135.9187,12-04-2021 20:45
Zcash,ZEC,217.92215764805292,11540037.5,2514829871.3394427,1087758767.6730888,0.89557677,-2.25177375,12.8689259,40.38415485,283.7142,12-04-2021 20:45
Maker,MKR,2506.601183193484,995238.77828647,2494666699.212903,166882236.878512,1.39367311,11.76326982,7.65814352,13.93044357,330.5231,12-04-2021 20:45
Decred,DCR,192.3852315242611,12813023.99923709,2465036588.6191416,29916052.45988878,0.69187889,-1.11924824,-0.14770053,8.40679119,368.0003,12-04-2021 20:45
Stacks,STX,2.17117466736384,1087258006.355727,2360627040.2880673,66321943.04582219,-2.40132041,13.26342964,-5.81354907,73.86412376,404.5141,12-04-2021 20:45
NEAR Protocol,NEAR,6.69656296762857,347534820,2327288805.573461,132919595.33355686,0.26862801,-2.82000769,9.78476309,-11.51965085,393.3658,12-04-2021 20:45
Synthetix,SNX,19.65562351647225,114841533.01197928,2257281936.937984,113161662.59275253,2.40145099,2.15985057,-5.17301743,-4.63126387,135.1265,12-04-2021 20:45
Compound,COMP,445.64401682564153,5066520.77822168,2257864670.9372845,191928370.17682618,-0.61241397,-1.02614883,-12.92825369,-3.13340404,206.5141,12-04-2021 20:45
Ethereum Classic,ETC,19.19910451117586,116313299,2233111183.5406466,1329506306.2812176,-1.03750221,-4.60914948,25.823831,40.39450039,236.5696,12-04-2021 20:45
Zilliqa,ZIL,0.19634816084081,11162205655.5492,2191678551.3939734,145563784.33579603,0.3285942,-3.45973847,-8.14343568,12.81520313,148.3048,12-04-2021 20:45
UNUS SED LEO,LEO,2.12789198532435,999498892.9,2126825683.542471,3525053.65059084,0.17820641,-0.45657911,6.55934574,5.28947131,56.8773,12-04-2021 20:45
Basic Attention Token,BAT,1.41740056312218,1492811959.6224163,2115912512.2043378,478193742.5814879,0.15819518,-3.39411189,16.0993781,73.46110216,590.9918,12-04-2021 20:45
SushiSwap,SUSHI,16.16147318449454,127244443,2056457653.420444,819605835.8412272,0.34767855,12.80926732,5.1341029,-28.5898082,385.1705,12-04-2021 20:45
Bitcoin Gold,BTG,114.75535862378135,17513923.589,2009816582.3651989,179039360.3103013,0.58660492,-7.09742523,124.54173478,224.66970603,1250.3567,12-04-2021 20:45
TerraUSD,UST,1.01077248434001,1758521378.527358,1777465022.5391169,52243974.75628562,0.83946859,1.29787377,0.97787399,1.13821624,0.8959,12-04-2021 20:45
Theta Fuel,TFUEL,0.33875778608328,5270590400,1785453535.2557893,41689162.28602985,-0.89194988,-5.29055034,-13.20004316,-11.10808973,911.4337,12-04-2021 20:45
Polygon,MATIC,0.35266502990225,5038388130,1776863300.5255914,143487025.83622327,-0.8465895,-2.88307382,-1.25552844,-18.14430808,1879.9639,12-04-2021 20:45
Nexo,NEXO,3.17275624236085,560000011,1776743530.6223946,17536223.36712904,1.01698181,8.41169887,13.13133107,30.00508514,445.8908,12-04-2021 20:45
Decentraland,MANA,1.08007195362398,1578097513.1741636,1704458864.0631633,466836741.54859823,-0.55731183,2.15539028,5.41261345,15.8903032,1189.817,12-04-2021 20:45
Celsius,CEL,7.07585410108291,238863519.826,1690163416.3599012,7825705.83550295,-1.82677848,-0.4361437,17.89906738,29.82608084,29.3874,12-04-2021 20:45
0x,ZRX,2.13272310414141,781547659.1667516,1666824749.692567,270440096.0882569,2.28813816,-0.97996515,12.78339214,51.17803704,468.7692,12-04-2021 20:45
ICON,ICX,2.69115778710928,597140495.322714,1606999293.9860144,187081765.57568416,-0.2471138,5.72309109,0.58463615,46.3710354,498.6147,12-04-2021 20:45
Waves,WAVES,15.30210801641513,104825146,1604045706.9284863,127903905.99271517,0.49283673,-4.21307973,17.34368945,49.87322,154.9381,12-04-2021 20:45
Ravencoin,RVN,0.18579853146874,8541125000,1586928482.090942,120246630.56507546,0.16197472,-1.47160306,-1.53031592,-2.96580562,1332.0229,12-04-2021 20:45
UMA,UMA,26.41324015437773,60054679.9701217,1586238684.4451225,50704329.95131705,1.46938696,-2.06907745,2.1017699,9.90869415,233.2297,12-04-2021 20:45
yearn.finance,YFI,42924.61438594776,36634.94063504,1572540699.81118,364744547.18964607,1.17989729,-8.10001605,13.26980018,12.58576423,95.9852,12-04-2021 20:45
Ontology,ONT,1.86400267667468,809807991,1509484262.8165452,436627261.9471186,0.92907325,-4.75985047,-4.11916444,64.46862469,315.0666,12-04-2021 20:45
KuCoin Token,KCS,18.32249054157494,80118638,1467972986.9588666,149828533.5751571,2.24469835,8.02002766,113.41190398,273.45899023,2561.998,12-04-2021 20:45
Qtum,QTUM,14.69423372911533,98278976.7260568,1444134254.6709642,750547703.6713666,-1.26720341,-2.29500944,24.82778443,138.91783233,546.6764,12-04-2021 20:45
OKB,OKB,23.30443892995339,60000000,1398266335.7972033,595960633.6982828,0.54310883,9.34855828,28.38837019,45.17771805,153.0272,12-04-2021 20:45
Harmony,ONE,0.14538286629494,9400450255.293127,1366664402.5775154,141695982.73987004,2.16313962,-0.87631034,-6.93526683,162.76383237,3327.4427,12-04-2021 20:45
OMG Network,OMG,9.71468714958915,140245398.24513277,1362440168.121004,528648095.4305587,4.40202517,0.13880343,15.86425413,83.12452548,288.3493,12-04-2021 20:45
Flow,FLOW,37.50204336674337,33967817,1273862546.2076027,183319902.60343772,0.60312077,12.38021734,-4.62954726,1.9370539,0,12-04-2021 20:45
Siacoin,SC,0.0267628777638,47522062992,1271827162.9384997,128135230.32205454,1.62633393,-4.25064242,-24.16755842,104.64975074,690.0481,12-04-2021 20:45
Helium,HNT,16.18545997343767,78304215.5075187,1267389745.8483813,21968251.44870437,-0.68915219,-2.81984426,1.78830881,130.89547661,1093.0397,12-04-2021 20:45
Bancor,BNT,6.95432091566486,178609465.56969225,1242107542.1470335,109289404.31185381,0.22663904,-2.49868914,-9.3899699,-15.95206511,439.1822,12-04-2021 20:45
Dent,DENT,0.01315299978489,94033927360.73587,1236828226.3481207,142964145.12747297,-2.20448611,-9.07163045,-37.1738092,303.09829156,6673.9609,12-04-2021 20:45
DigiByte,DGB,0.08444643192808,14211294433.014954,1200093107.9474995,47981084.93286554,-0.01706145,-3.38804444,-6.07372613,34.9717289,217.9938,12-04-2021 20:45
Voyager Token,VGX,5.20189841140706,222295208,1156357089.358602,41351835.87312513,-4.22459404,19.42577417,19.61010038,-2.08564147,3042.8015,12-04-2021 20:45
Pundi X[old],NPXS,0.00481907544344,236751963902.0934,1140925575.4267716,594268.17773393,-0.56120255,-2.81478817,-34.17856062,47.32653507,2599.6109,12-04-2021 20:45
Fantom,FTM,0.43346867909618,2545006273,1103180507.448802,84799172.87876402,-0.0916364,-0.70626023,-1.22621779,0.69110258,2416.1278,12-04-2021 20:45
Revain,REV,0.01297089400513,85061485689.83401,1103323514.8017192,5617586.33791387,-1.20289583,0.18170288,3.89186956,5.29360172,11.0799,12-04-2021 20:45
Ankr,ANKR,0.15672983704462,6996232711.125,1096518412.7408612,165606440.1332543,1.14109395,6.94592523,-8.12841789,121.93988078,1640.9687,12-04-2021 20:45
Reserve Rights,RSR,0.08338010948275,13159999000,1097282157.4128804,85571504.60983062,-0.0020852,-4.5808286,-5.19413951,13.02631535,229.2586,12-04-2021 20:45
SwissBorg,CHSB,1.04880691781454,1000000000,1048806917.81454,7886001.01615963,0.50323338,-0.4966973,-8.21827497,-26.9841426,310.491,12-04-2021 20:45
BTMX,BTMX,1.38512264467028,749317256.394,1037896299.8735355,11191901.67148187,1.81884561,14.48627548,7.95580656,3.60528943,3713.5261,12-04-2021 20:45
Ren,REN,1.02039648424176,997163051.0169293,1017501671.4734614,117471522.1526678,-0.70711779,-3.69746006,-3.50638561,-15.80797337,221.8663,12-04-2021 20:45
Conflux Network,CFX,1.18349480285564,821088210.2987072,971753629.5745587,15099120.39250685,-0.23029945,-1.51241264,-6.00947939,96.81541643,821.2763,12-04-2021 20:45
Celo,CELO,4.73643910161661,204757368,969820804.1393017,23252583.15569426,0.86947655,1.70978226,2.94941679,19.9862883,224.3799,12-04-2021 20:45
IOST,IOST,0.0591464731595,16374175762,968474747.2160685,455397184.1542415,1.02207667,5.88315525,7.21851747,30.84157907,919.4732,12-04-2021 20:45
Paxos Standard,PAX,1.00190856440295,911941530.45,913682029.5925887,74417149.72360949,0.02404458,-0.12546122,-0.25873218,0.01992657,-0.0924,12-04-2021 20:45
Bitcoin Standard Hashrate Token,BTCST,83.46365719946732,10610486.49218484,885590007.303294,275199869.3549593,9.69018108,44.65724955,42.78570566,0,0,12-04-2021 20:45
Arweave,AR,26.07590574952994,33394701,870797075.8097333,30411931.77206687,-1.09985889,-8.79921598,-4.52730677,82.408843,896.5582,12-04-2021 20:45
1inch,1INCH,5.54193396999109,154385962.64310023,855596810.8615726,169460085.75026095,1.32785424,-5.00500258,10.68267685,34.12747356,379.6646,12-04-2021 20:45
Horizen,ZEN,75.82970756515115,10966425,831580800.7851627,54331741.73247705,0.67952868,-1.83099766,11.21259651,42.3281416,543.1024,12-04-2021 20:45
Lisk,LSK,6.43773487728623,127767243.39837025,822531639.000407,42306138.08780838,-0.298897,-4.14990805,1.1672011,96.1181275,454.5706,12-04-2021 20:45
Curve DAO Token,CRV,3.02028653793806,270847603.0101771,818037369.2044299,212418132.33029583,-0.425237,-3.48860915,-5.55533541,29.09622994,385.3159,12-04-2021 20:45
Nano,NANO,5.97099542760452,133248297.197,795624973.2993752,55986108.73259947,-1.69056521,0.63754439,8.24863882,11.57926041,479.3165,12-04-2021 20:45
Mdex,MDX,4.09381529792109,191305710,783170242.1776557,295194300.3875451,1.07477814,1.44087799,1.22147686,5.62713972,0,12-04-2021 20:45
WazirX,WRX,3.25984276970267,237516596.010102,774266758.187921,117857492.32512194,-1.24686789,-8.07062442,-26.77656491,652.93719361,4802.1659,12-04-2021 20:45
Nervos Network,CKB,0.02986259565239,24652283189.041485,736181164.7825574,59643555.08182365,0.75661062,-3.5448941,-15.22013979,79.48490535,640.0616,12-04-2021 20:45
Loopring,LRC,0.60222796523996,1223141482.0712717,736610005.9483709,81396514.38214034,1.61778672,7.1092885,0.41544341,5.10627068,242.6533,12-04-2021 20:45
renBTC,RENBTC,59969.382546255554,12156.88747348,729041035.4689043,98754696.90536503,-0.12467946,0.10469115,2.11577227,0.21235636,104.3202,12-04-2021 20:45
HUSD,HUSD,1.00167297899319,717382513.2671984,718582679.1419762,400180949.29519016,-0.02316067,-0.16805404,-0.11921649,0.15179826,0.1947,12-04-2021 20:45
Kyber Network,KNC,3.50668089089597,205048084.4400052,719038199.4205896,130604686.40711337,0.31560469,-5.58763823,-0.34091358,53.15012104,339.3762,12-04-2021 20:45
Ocean Protocol,OCEAN,1.6585694024299,426026836.76781356,706595076.0770931,53814911.1857747,-0.06781943,-4.60022362,8.14358526,17.79278077,376.561,12-04-2021 20:45
Origin Protocol,OGN,2.43666534350606,282390384,688090862.0321681,215846962.55000147,0.92534421,-10.89645565,18.0408006,192.46174954,1916.0453,12-04-2021 20:45
Venus,XVS,72.89727131532494,9382483,683957408.862424,188627980.53146783,15.38820996,14.02377049,29.13502449,47.14141241,1902.5103,12-04-2021 20:45
Verge,XVG,0.04108236162297,16444355249.431252,675572949.0137197,36950609.46743135,1.65380629,-4.04755728,-12.85892593,59.6464487,460.5766,12-04-2021 20:45
Livepeer,LPT,31.1172437011958,21164655.33252989,658585737.8341458,56878056.41180985,-1.0584027,-0.00053756,-10.35141913,482.22413487,2053.7257,12-04-2021 20:45
ZKSwap,ZKS,3.31217051242029,197440000,653954945.972262,50284490.43506243,-1.74823184,-3.70912828,-3.98385349,37.2578171,0,12-04-2021 20:45
Status,SNT,0.18363979406281,3470483788,637318928.1266408,43573774.89648502,1.05275848,-5.54517264,-9.31128828,69.8020673,486.8046,12-04-2021 20:45
Storj,STORJ,2.42466725450291,255488217.00769734,619473913.6898972,168577245.37894633,0.59463264,0.13985989,-18.00854194,213.11387967,718.3498,12-04-2021 20:45
MaidSafeCoin,MAID,1.33801802075538,452552412,605523282.5923133,3151268.98209256,-0.85428015,11.73985506,19.99891083,87.83835142,312.5816,12-04-2021 20:45
StormX,STMX,0.06777284454751,8412333047.209724,570127739.8904257,38088945.71260121,0.15822617,-2.8031396,-22.64489841,344.59690483,2513.5134,12-04-2021 20:45
Golem,GLM,0.56620976355271,1000000000,566209763.55271,11236837.27485093,0.16749576,-0.04979221,-11.19848191,18.22261833,409.8793,12-04-2021 20:45
DODO,DODO,4.86684600051784,110551965,538039388.7096382,263603178.98149708,3.86329566,6.86983765,20.53714523,20.41931898,2395.1234,12-04-2021 20:45
VeThor Token,VTHO,0.01512902654275,34210376129,517569688.493102,67138140.60527538,-1.67668166,-5.51817769,-11.34742976,127.32235389,2067.8239,12-04-2021 20:45
Augur,REP,46.98960613658532,11000000,516885667.50243855,53217479.4500983,0.70990862,-6.52694862,7.01772059,48.06273543,187.2583,12-04-2021 20:45
Kin,KIN,0.00033950127734,1518114145968,515401691.7040592,3292447.85545704,0.98831369,-6.52955867,-28.8598485,237.39178366,441.5557,12-04-2021 20:45
NKN,NKN,0.86936915452503,583666666,507421795.9448631,276924729.7316093,-1.26652444,-9.85718673,72.28488324,435.9568042,4588.3878,12-04-2021 20:45
SingularityNET,AGI,0.56615093576219,868077211.6223078,491462725.6738022,15857183.01829249,0.76512868,15.43847058,30.42818227,130.07618396,1042.7579,12-04-2021 20:45
Energy Web Token,EWT,16.28574691513241,30062138,489584371.1957848,3855960.09384347,-1.23714278,-2.74191811,-2.04399333,5.93099428,152.7897,12-04-2021 20:45
Ardor,ARDR,0.48120860711869,998999495,480727155.5012247,16779906.15188516,0.53963697,-4.72131963,11.61358852,104.15442175,480.5589,12-04-2021 20:45
WINk,WIN,0.00153413921477,313607571387,481117673.3135789,927730471.76092,-2.63252051,-6.82916131,-31.77433224,491.49375573,2485.3374,12-04-2021 20:45
IoTeX,IOTX,0.04887102099135,9644304442.32,471327004.8475908,33257983.74077906,-0.08319312,-4.06352397,-4.9428336,10.25134403,636.6817,12-04-2021 20:45
The Sandbox,SAND,0.68153434364403,686821748.5533226,468092609.60073376,106190659.0502874,0.11451257,5.41062614,-5.57979217,-2.99734979,1740.8275,12-04-2021 20:45
Bitcoin Diamond,BCD,2.50635458270348,186492897.953,467417329.426154,15643909.22705901,-1.29110426,-12.29191522,81.01301864,115.48687096,432.6752,12-04-2021 20:45
Fetch.ai,FET,0.61423604798938,746113681,458289918.768249,44802964.76852805,-1.33563116,-4.09430147,-8.85461419,9.51367371,1048.8046,12-04-2021 20:45
Quant,QNT,38.1806525198978,12072738,460945014.5417659,7014258.42476474,-0.24805963,-3.17356981,-2.68563083,3.41659372,245.9757,12-04-2021 20:45
Steem,STEEM,1.23245719667919,369347565.631,455205065.3378654,12248598.92446076,0.27638713,-5.6822759,3.44769913,155.21656035,661.3916,12-04-2021 20:45
MediBloc,MED,0.16509073574779,2738131491.110654,452040142.44165117,494707.99387432,0.88835445,-1.57595313,-37.28724181,328.37100649,3297.1524,12-04-2021 20:45
SKALE Network,SKL,0.67901464485923,660416667,448432588.60212135,60258126.00921464,0.30751046,-2.56396409,-7.15427689,-25.95273948,747.7115,12-04-2021 20:45
Komodo,KMD,3.57482294742777,125270636.43541,447820345.76818496,41741001.96797506,0.68334196,-2.17062638,24.31061431,139.41804574,628.5407,12-04-2021 20:45
FUNToken,FUN,0.04220873858086,10298879188.66342,434702699.3501538,14132291.80604018,0.08763616,-6.04943759,-19.55802283,28.95098612,486.0176,12-04-2021 20:45
Reef,REEF,0.03840480298139,11268898338,432779820.4882032,82986922.45611914,-0.00986521,-4.26314554,-3.33592204,-24.60180738,215.0993,12-04-2021 20:45
Aragon,ANT,10.72587497387201,39609522.80952381,424846789.429684,70603568.16390008,3.84391418,-3.99406535,-11.39203905,86.21263379,232.7032,12-04-2021 20:45
Civic,CVC,0.62656926512747,670000000,419801407.6354049,98558076.85916953,0.47515421,-0.17900016,-7.37222476,44.44796235,629.3802,12-04-2021 20:45
Orbs,ORBS,0.18372666166689,2229950518.201359,409701364.3914871,895991.42311071,1.09936242,3.10434577,-23.12783149,123.69794117,1307.8121,12-04-2021 20:45
Velas,VLX,0.19126420625243,2124380663,406317981.286706,10338727.54482695,-0.27907599,0.78355943,7.92881957,266.62860195,572.957,12-04-2021 20:45
Swipe,SXP,4.6847451713188,85736975,401655879.6347307,392291477.328724,0.62051115,-6.92012478,-8.05652623,50.06871039,553.6044,12-04-2021 20:45
WAX,WAXP,0.25924423140564,1553259962.013781,402673685.02541625,12828275.98830304,0.45796836,10.49384352,1.09731334,-13.69524314,611.022,12-04-2021 20:45
Alpha Finance Lab,ALPHA,1.59075782421364,250153035,397932897.67703855,104706236.21382125,1.47420318,1.64494392,-18.82267984,2.03323339,631.127,12-04-2021 20:45
Telcoin,TEL,0.00769447924238,51270110195.29,394496798.65219414,14285409.88445258,-0.86628655,14.37986011,-0.65140342,-10.48965388,4405.492,12-04-2021 20:45
Kava.io,KAVA,6.60179087326458,58524186,386364437.0000387,56609348.25249819,0.32528872,-6.04542126,-12.80423744,13.13788406,405.6765,12-04-2021 20:45
Wanchain,WAN,2.2728838889696,169028581.17449087,384182338.92689055,49577311.53207569,0.93772388,-8.0085196,17.41438945,102.04189427,619.1194,12-04-2021 20:45
Wootrade,WOO,0.98750506539489,376235705,371534664.46991754,49612571.93025089,4.49545909,-3.2461875,90.25269677,183.20822616,3950.8724,12-04-2021 20:45
Serum,SRM,7.48057792374448,50000000,374028896.187224,279594585.2739497,1.45277993,-2.81841253,13.87509369,22.65543129,560.4965,12-04-2021 20:45
TrustSwap,SWAP,4.51992854111906,81726222.15437576,369396684.07339984,7234624.10693508,-1.50593804,1.95697229,9.0971015,40.47255181,657.2401,12-04-2021 20:45
Numeraire,NMR,74.64647240224382,4911507.31452239,366626695.20691425,40622121.95201413,-2.02551758,3.05740814,7.59195129,72.270042,225.2731,12-04-2021 20:45
BitShares,BTS,0.12194095188645,2994880000,365198517.98569137,73292936.16709584,-1.17108035,-5.58842804,-20.56355212,58.55932978,465.971,12-04-2021 20:45
Balancer,BAL,51.85053604155879,6943831,360041359.5319932,50837187.2671195,1.7209514,-0.38630723,-5.97652881,10.3634578,272.1399,12-04-2021 20:45
Haven Protocol,XHV,24.74304306279175,14292078.12,353629504.3799437,13069384.98786111,-3.64449841,9.60049667,48.25006266,78.37441998,787.7029,12-04-2021 20:45
CyberVein,CVT,0.33386617332963,1060404495.64999,354033191.1441984,7713772.35315205,0.13873576,4.47416891,22.8660406,118.13129325,179.2626,12-04-2021 20:45
Band Protocol,BAND,16.98399253858799,20494032.5175,348070495.36279964,150206124.98723722,0.27076292,-6.1348153,-5.68186157,21.009782,208.3394,12-04-2021 20:45
Badger DAO,BADGER,40.35231501647799,8587183.72113075,346512742.6194397,23606441.49163494,0.49888755,-3.02280505,-6.86231231,-12.79002871,528.5506,12-04-2021 20:45
Stratis,STRAX,2.63396638136709,130155974,342826459.8500891,28528786.96889257,0.10936414,9.27113035,13.34879486,80.59284486,450.1451,12-04-2021 20:45
Populous,PPT,6.49419688156858,53252245.99438964,345830569.8732881,104470422.85298145,-9.93523074,25.84402327,47.77108551,127.59786263,1136.104,12-04-2021 20:45
Celer Network,CELR,0.06211775849956,5504609696.93128,341934015.7883134,48044180.26469471,0.87393955,-3.39863963,-18.7875865,17.4110747,1184.744,12-04-2021 20:45
